week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies,Penalty Pay,Operating Supplies 5220
04/21/2015,0.036975446684886205,0.13785331453965038,0.03549021226144271,0.014099962967641183,0.026631469179891145,0.017329299485565993,0.0015191592219185627,0.26989886434099614,0.2700065165468616,9.24,1317.5131,1102.0479,1266.4696,422.0505,372.39,4480.4711,0.0,520.0,0.0,59.54,579.54,5060.0111,111.48,71.52,11.5,4.75,199.25,0.0,0
04/28/2015,0.03719213157545458,0.1415562923063311,0.03361555296863249,0.013729441335220992,0.027167936778303772,0.015071499081980277,0.0010402864110958731,0.26937314045701904,0.2695805244325975,12.49,1345.3522,1157.1817,1282.3809,433.3727,393.36,4611.6475,0.0,0.0,0.0,0.0,0.0,4611.6475,114.68,70.12,6.34,0.0,191.14000000000001,0.0,0
05/05/2015,0.035608119359461676,0.13872651510284245,0.035544114041310075,0.012586973937648079,0.03182597083145944,0.01770602920525363,0.0016416777352226573,0.27363940021319805,0.2737377388152952,7.3,1468.3334,921.7444,1270.8277,419.1737,385.53,4465.6092,0.0,130.0,0.0,14.885,144.885,4610.4942,126.17,70.52,4.75,0.0,201.44,0.0,0
05/12/2015,0.039252891340843366,0.13399137928445512,0.03402326587121633,0.012928873465734873,0.031026579913927994,0.015464596653822937,0.000896112944737926,0.2675836994747386,0.2676963198659368,-2.84,1469.6655,933.8824,1292.7929,423.231,340.55,4460.1218,0.0,130.0,0.0,14.885,144.885,4605.0068,83.51,52.14,418.0,0.0,553.65,0.0,0
05/19/2015,0.03591557979320248,0.1310709433780148,0.0284554009869334,0.012845028534198812,0.03157266870166379,0.010813665045908086,0.0006843622938358888,0.25135764873375716,0.251448137736327,2.28,1345.2516,1207.5821,1355.5086,447.5052,437.13,4792.9775,130.0,130.0,14.885,14.885,289.77,5082.7474999999995,108.69,64.12,1404.12,0.0,1576.9299999999998,0.0,0
05/26/2015,0.0367211743376934,0.1391995065784963,0.033477675351141135,0.012941898863676894,0.029980492159836756,0.015164078420831773,0.001689036113846246,0.26917386182552244,0.2692767151128507,0.12,1466.9509,1214.4188,1275.9465,453.1127,375.51,4785.9389,0.0,130.0,0.0,14.885,144.885,4930.8239,89.88,54.22,0.0,39.8,183.89999999999998,0.0,0
06/02/2015,0.03361776750933695,0.12998544350405644,0.03263846606171979,0.012747412910888368,0.026671013994225227,0.013917352949652559,0.0010881563222957813,0.25066561325217507,0.2507575877421306,15.93,1482.5768,1259.3794,1333.5346,466.6437,444.72,4986.8545,0.0,130.0,0.0,14.885,144.885,5131.739500000001,139.38,44.15,249.5,15.87,448.9,0.0,0
06/09/2015,0.03351864673284499,0.12249495167656524,0.03599364385958969,0.013397542492253304,0.026998156119645123,0.012674942382209014,0.004892529147578719,0.24997041241068618,0.25005369517287557,2.26,1500.0578,1178.3602,1366.1686,463.1052,485.58,4993.2718,100.0,0.0,11.45,0.0,111.45,5104.7218,103.77,27.21,12.26,15.97,159.20999999999998,0.0,0
06/16/2015,0.0366687747687908,0.12657719069576165,0.03256710697817878,0.010870657450540208,0.0317076979998282,0.016190907473706787,-0.0021447718278192374,0.2524375635389871,0.2525390229995068,17.31,1582.9807,1279.0261,1231.493,468.7057,379.41,4941.6155,0.0,0.0,0.0,0.0,0.0,4941.6155,92.95,77.61,0.0,0.0,170.56,0.0,0
06/23/2015,0.036792866535983085,0.12478071542421591,0.031046104235186688,0.013294552026005487,0.03342882392985738,0.013447701964901356,0.0004730718021483509,0.2532638359182984,0.2533663596422881,19.03,1559.2317,1294.5509,1358.5053,482.307,397.82,5092.4149,0.0,0.0,0.0,0.0,0.0,5092.4149,129.56,74.11,158.28,9.98,371.93000000000006,0.0,0
06/30/2015,0.03524601108174943,0.12830138551006545,0.029697709249446848,0.013786152151629724,0.030295582387568548,0.015107097460988206,0.0008365639453980692,0.25327050178684624,0.2533676305945383,6.93,1535.2736,1212.4171,1204.3368,452.5071,387.25,4791.7846,0.0,0.0,0.0,0.0,0.0,4791.7846,125.31,73.27,36.23,5.99,240.79999999999998,0.0,0
07/07/2015,0.034952240467879675,0.12308113798684017,0.030043522579342247,0.013120737461758254,0.031268554578228754,0.01658447023762415,0.0010379237976196646,0.2500885871092929,0.25019092896383643,26.66,1523.9725,1095.3408,1208.2478,438.2557,312.7,4578.516799999999,0.0,0.0,0.0,0.0,0.0,4578.516799999999,137.63,74.86,144.72,0.0,357.21000000000004,0.0,0
07/14/2015,0.03544314414018975,0.12001953607725302,0.03139866293007394,0.014891960698247633,0.030737056420299152,0.012877043589830167,0.0008304217172569793,0.2461978255731506,0.24629911874936697,1.34,1510.3333,1050.337,1293.3115,441.2809,369.29,4664.552699999999,0.0,0.0,0.0,0.0,0.0,4664.552699999999,137.98,109.14,89.01,0.0,336.13,0.0,0
07/21/2015,0.03529528671252796,0.12417271689180515,0.03394671832348228,0.010469026419867756,0.034029999060544595,0.01664550907236056,0.0004242898180235174,0.2549835462986119,0.25508278454582634,2.59,1453.5142,1052.0334,1304.8432,436.2897,400.31,4646.990500000001,390.0,0.0,44.655,0.0,434.655,5081.6455000000005,83.33,79.16,239.1,10.98,412.57000000000005,0.0,0
07/28/2015,0.029339022333436222,0.12387456457515757,0.030571426209268487,0.014057443008951011,0.029364693108161723,0.015207874024427881,0.0008886318290048061,0.24330365508840773,0.24340699959213366,2.01,1475.9334,1040.9184,1272.9432,433.9315,357.49,4581.2164999999995,260.0,0.0,29.77,0.0,289.77,4870.986499999999,106.32,55.22,10.98,10.88,183.39999999999998,0.0,0
08/04/2015,0.03403714741526833,0.12875779751028732,0.029816404283940712,0.01215594715537674,0.03257476916319178,0.01605962864786215,0.001105222539799713,0.25450691671572667,0.2545984278389037,6.57,1510.6667,1068.215,1244.5362,437.7813,418.75,4679.9492,0.0,0.0,0.0,0.0,0.0,4679.9492,150.55,52.64,144.9,0.0,348.09000000000003,0.0,0
08/11/2015,0.03283232478636563,0.11773803181641194,0.03637335190365727,0.011195594007487058,0.027611278605027854,0.013410499320335697,0.0010778890510739648,0.24023896949035944,0.24029869394561268,7.58,1548.5,1087.2648,1258.67,445.9128,393.27,4733.6176,100.0,0.0,11.45,0.0,111.45,4845.067599999999,122.84,111.1,143.41,3.99,381.34000000000003,0.0,0
08/18/2015,0.03786974797975507,0.12862221214421352,0.030200592714787186,0.014098658376515015,0.030693131030249544,0.018077081694895747,0.00018108217717870026,0.2597425061175948,0.2598110122187482,7.71,1511.1666,1113.892,1212.5738,439.4089,352.15,4629.1913,0.0,0.0,0.0,0.0,0.0,4629.1913,144.78,85.73,23.45,17.97,271.92999999999995,0.0,0
08/25/2015,0.03525158679434484,0.13267043576237758,0.03288234581097311,0.013047106579686827,0.030221125026171088,0.015289562419420597,0.001127856780790974,0.26049001917376496,0.2605588904560931,10.59,1515.9999,1076.3823,1165.0262,430.2233,339.7,4527.3317,0.0,0.0,0.0,0.0,0.0,4527.3317,139.85,75.67,123.88,11.88,351.28,0.0,0
09/01/2015,0.0355112860381347,0.1337957873802205,0.03279809604606206,0.012255225790300823,0.03959092805585303,0.014890366187780757,0.002588994895901422,0.2714306843942534,0.27150022252200884,11.05,1516.1588,976.461,1137.4124,415.6387,376.58,4422.2509,0.0,0.0,0.0,0.0,0.0,4422.2509,128.36,70.6,228.66,0.0,427.62,0.0,0
09/08/2015,0.03717823476820912,0.14002729269873956,0.02976203115787652,0.013184969852076974,0.04113964789945902,0.015224017265800142,0.0008052891581067899,0.277321482800268,0.277321482800268,9.39,1517.124,999.9291,1103.1884,414.5177,336.13,4370.8892,0.0,0.0,0.0,0.0,0.0,4370.8892,106.61,70.63,42.21,5.99,225.44000000000003,0.0,0
09/15/2015,0.03350158841767105,0.12419532696947239,0.03444154444639759,0.012662669509768706,0.033545343146621005,0.013650940440069391,0.0007630773777224105,0.2527604903077226,0.2527604903077226,-0.14,1510.1298,1031.1802,1120.5969,419.2883,369.06,4450.2552000000005,130.0,0.0,14.885,0.0,144.885,4595.140200000001,113.06,73.05,298.45,12.83,497.39,0.0,0
09/22/2015,0.03388521488348979,0.14048914397597753,0.03321464723098575,0.012765843766399786,0.03709496042325629,0.01659766280302059,0.0004533860706427396,0.27450085915377265,0.27450085915377265,1.4,1507.6097,868.2835,1150.6955,403.7944,350.17,4280.5531,0.0,130.0,0.0,14.885,144.885,4425.4381,115.9,118.43,168.67,5.99,408.99,0.0,0
09/29/2015,0.03634931116036568,0.15073818766551575,0.03140168736620306,0.01282996939580907,0.049975066626851784,0.016747852589579997,0.0004252412375701136,0.29846731604189536,0.29846731604189536,3.36,1519.9873,985.1742,1086.0666,411.1956,324.24,4326.6637,0.0,0.0,0.0,0.0,0.0,4326.6637,87.43,89.81,402.23,9.98,589.45,0.0,0
10/06/2015,0.03463226749341979,0.14165738934254682,0.031608812866700246,0.013188133633196883,0.039982178456648663,0.013880059310550327,0.000992983476761758,0.27594182457982436,0.27594182457982436,-1.14,1532.4783,913.1968,1098.0783,405.7598,346.78,4296.293199999999,0.0,0.0,0.0,0.0,0.0,4296.293199999999,134.35,97.17,25.04,0.0,256.56,0.0,0
10/13/2015,0.03543433674435846,0.13865272684407265,0.033802277741664256,0.012279049927977357,0.036396598786857956,0.01405631939078519,0.0015031950253271682,0.272124504461043,0.272124504461043,16.58,1527.4184,930.1311,1092.0463,406.4287,323.09,4279.1145,100.0,0.0,11.45,0.0,111.45,4390.5644999999995,118.5,169.71,29.14,0.0,317.35,0.0,0
10/20/2015,0.033903895554456616,0.14220246723872867,0.030782839270086716,0.013256664565474079,0.03294082772838443,0.01726529431199384,0.0008130907835467426,0.271165079452671,0.271165079452671,5.23,1519.3147,872.0509,1039.0318,392.7805,320.67,4143.8479,0.0,0.0,0.0,0.0,0.0,4143.8479,123.4,164.76,19.05,0.0,307.21,0.0,0
10/27/2015,0.034417056728112246,0.13926507051410975,0.034160201610570366,0.011336524077283132,0.03214856588709477,0.01570140119070906,0.0011627940613317088,0.26819161406921094,0.26819161406921094,21.84,1509.1667,919.4146,1047.2087,397.978,325.15,4198.918,0.0,0.0,0.0,0.0,0.0,4198.918,126.94,134.36,66.9,0.0,328.20000000000005,0.0,0
11/03/2015,0.03600123380090702,0.14506299950386073,0.03159625174776338,0.012832824341960732,0.038989534516598826,0.014634966616082767,0.0016740554075544123,0.280791865934728,0.280791865934728,0.48,1508.8332,891.8564,1128.254,404.064,344.72,4277.7276,100.0,0.0,11.45,0.0,111.45,4389.1776,110.45,128.38,18.81,0.0,257.64,0.0,0
11/10/2015,0.036208278751804636,0.14264835150456015,0.03210596982592551,0.013964414539501516,0.041798675213613086,0.012413017276598593,0.0010843199202104077,0.28022302703221386,0.28022302703221386,-1.87,1438.7945,1000.3663,1124.039,407.9864,345.61,4316.7962,0.0,0.0,0.0,0.0,0.0,4316.7962,126.89,140.05,332.23,5.99,605.1600000000001,0.0,0
11/17/2015,0.035163065517268964,0.1320082605011559,0.02931055829148419,0.01203943429350993,0.04359440102443998,0.017609728241572885,0.0008131523128357126,0.27053860018226755,0.27053860018226755,-2.57,1518.192,1080.6127,1216.9417,436.903,340.75,4593.3994,0.0,0.0,0.0,0.0,0.0,4593.3994,99.41,140.63,1440.58,0.0,1680.62,0.0,0
11/24/2015,0.03652166822798688,0.1347682600068326,0.02961109438031856,0.011117056163485106,0.039738585003469835,0.01161728173160132,0.0012901127364447842,0.26466405825013917,0.26466405825013917,-5.11,1523.6459,1075.3819,1138.3098,427.9252,345.78,4511.042799999999,0.0,0.0,0.0,0.0,0.0,4511.042799999999,116.16,127.39,1738.72,4.99,1987.26,0.0,0
12/01/2015,0.03607216092178498,0.13438671534536192,0.03290418506583921,0.010597661180367942,0.04667375509480773,0.0156343962359,0.002619987920739801,0.2788888617648016,0.2788888617648016,3.29,1281.3333,814.7895,913.5778,344.6107,290.0,3644.3113000000003,0.0,230.0,0.0,26.335,256.335,3900.6463000000003,85.55,122.9,28.22,11.78,248.45,0.0,0
12/08/2015,0.033005187666883776,0.134173704525299,0.032685389693883196,0.012518529956763438,0.04790904699302782,0.01402782617891142,0.0015121321947784464,0.27583181720954714,0.27583181720954714,-1.67,1677.3723,1050.5256,1202.4505,450.0249,378.4,4758.7733,0.0,0.0,0.0,0.0,0.0,4758.7733,137.25,145.68,30.95,0.0,313.88,0.0,0
12/15/2015,0.033986971975245875,0.13756493590786795,0.03352201827368223,0.011113701715603549,0.041179304095526205,0.014835376653278122,0.0021193621371684975,0.2743216707583724,0.2743216707583724,6.57,1586.6308,1172.7932,1121.8762,444.4089,389.34,4715.0491,200.0,0.0,22.9,0.0,222.9,4937.9491,117.8,195.16,81.85,0.0,394.80999999999995,0.0,0
12/22/2015,0.03323259542696938,0.13308975013159757,0.033000217697543244,0.01061471911833647,0.04915662359173301,0.016062922652869176,0.0012993202998927641,0.27645614891894166,0.27645614891894166,-1.66,1495.1665,1097.1915,1196.8008,433.8587,375.17,4598.1875,130.0,0.0,14.885,0.0,144.885,4743.0725,109.71,118.31,187.98,18.72,434.72,0.0,0
12/29/2015,0.033574574722645203,0.13327820752664785,0.02999885142484228,0.011584015662388519,0.05182512073091147,0.016579125516641285,0.0019488361975201216,0.2787887317815968,0.2787887317815968,0.68,1289.8334,846.4261,924.0107,350.4009,290.03,3700.7011,0.0,130.0,0.0,14.885,144.885,3845.5861000000004,99.26,108.64,169.43,4.99,382.32000000000005,0.0,0
